ProductionLine,LineStatus,ProductCode,WorkOrder,Start,Finish,Tonnage,JobDetails
ICN,Run,PROD-A123,WO-001,2024-01-15T08:00:00,2024-01-15T16:00:00,25.5,Standard production run
ICN,Setup,PROD-B456,WO-002,2024-01-15T16:00:00,2024-01-15T18:00:00,0,Changeover to Product B
ICN,Run,PROD-B456,WO-002,2024-01-15T18:00:00,2024-01-16T02:00:00,32.0,Night shift production
IST,Run,PROD-C789,WO-003,2024-01-15T06:00:00,2024-01-15T14:00:00,18.5,Morning shift
IST,Setup,PROD-A123,WO-004,2024-01-15T14:00:00,2024-01-15T15:30:00,0,Quick changeover
IST,Run,PROD-A123,WO-004,2024-01-15T15:30:00,2024-01-15T23:30:00,28.0,Extended run
IRS,Run,PROD-D012,WO-005,2024-01-15T07:00:00,2024-01-15T11:00:00,12.0,Short run
IRS,Setup,PROD-E345,WO-006,2024-01-15T11:00:00,2024-01-15T13:00:00,0,Complex setup
IRS,Run,PROD-E345,WO-006,2024-01-15T13:00:00,2024-01-15T21:00:00,35.0,High volume run
IAL,Run,PROD-F678,WO-007,2024-01-15T08:00:00,2024-01-15T12:00:00,15.0,Standard production
IAL,Down,MAINT,WO-008,2024-01-15T12:00:00,2024-01-15T14:00:00,0,Scheduled maintenance
IAL,Run,PROD-F678,WO-009,2024-01-15T14:00:00,2024-01-15T22:00:00,30.0,Resume production
ITF,Run,PROD-G901,WO-010,2024-01-15T06:00:00,2024-01-15T10:00:00,20.0,Early shift
ITF,Setup,PROD-H234,WO-011,2024-01-15T10:00:00,2024-01-15T12:00:00,0,Product changeover
ITF,Run,PROD-H234,WO-011,2024-01-15T12:00:00,2024-01-15T20:00:00,40.0,Full production run
ICN,Run,PROD-C789,WO-012,2024-01-16T02:00:00,2024-01-16T06:00:00,10.0,Early morning short run
ICN,Setup,PROD-A123,WO-013,2024-01-16T06:00:00,2024-01-16T08:00:00,0,Return to Product A
ICN,Run,PROD-A123,WO-013,2024-01-16T08:00:00,2024-01-16T18:00:00,45.0,Extended day shift
IST,Run,PROD-B456,WO-014,2024-01-16T00:00:00,2024-01-16T08:00:00,30.0,Night continuation
IST,Setup,PROD-D012,WO-015,2024-01-16T08:00:00,2024-01-16T10:00:00,0,Morning changeover
IST,Run,PROD-D012,WO-015,2024-01-16T10:00:00,2024-01-16T14:00:00,15.0,Short afternoon run
IRS,Run,PROD-E345,WO-016,2024-01-16T00:00:00,2024-01-16T06:00:00,25.0,Night shift
IRS,Down,MAINT,WO-017,2024-01-16T06:00:00,2024-01-16T08:00:00,0,Equipment repair
IRS,Run,PROD-F678,WO-018,2024-01-16T08:00:00,2024-01-16T16:00:00,28.0,Recovery production
IAL,Run,PROD-G901,WO-019,2024-01-16T00:00:00,2024-01-16T08:00:00,32.0,Night production
IAL,Setup,PROD-H234,WO-020,2024-01-16T08:00:00,2024-01-16T09:30:00,0,Quick setup
IAL,Run,PROD-H234,WO-020,2024-01-16T09:30:00,2024-01-16T17:30:00,35.0,Day shift run
ITF,Run,PROD-A123,WO-021,2024-01-16T00:00:00,2024-01-16T04:00:00,12.0,Small batch
ITF,Setup,PROD-C789,WO-022,2024-01-16T04:00:00,2024-01-16T06:00:00,0,Changeover
ITF,Run,PROD-C789,WO-022,2024-01-16T06:00:00,2024-01-16T14:00:00,38.0,Standard run
